"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",0.0975452993380714,0.0137387261468142,0.692574065548308
"hechovictimizante_violenciasexual",0.484592268453653,0.354839250687567,0.6617916878982
"hechovictimizante_amenaza",1.12722997076733,1.0055597802278,1.26362194668154
"hechovictimizante_desplazamiento",2.96322091098232,2.69118476788356,3.26275559822982
"hechovictimizante_homocidio",0.171701903835352,0.135917532069104,0.21690758603309
"hechovictimizante_hostigamientos",0.200062036820808,0.108058705046473,0.37039883607412
"hechovictimizante_lesion_fis",0.254237241127921,0.0842751988702348,0.766970302566272
"hechovictimizante_despojo_tierras",0.0604194716175546,0.0176816521956893,0.206457660751547
"hechovictimizante_confinamiento",0.990283766095417,0.620706194257195,1.57991324472876
"hechovictimizante_lesion_psic",0.172818684329547,0.0431004054664477,0.692947022891599
"hechovictimizante_minas",0.0516359664551109,0.00725564517067231,0.367475664677009
"hechovictimizante_perdida_bienes",0.010237184434331,0.00181025218336017,0.0578924561482808
"hechovictimizante_secuestro",0.143861240122672,0.0461191485777175,0.448751918625672
"hechovictimizante_reclut_ninos",0.655099072305793,0.161478310832972,2.65766214869447
"hechovictimizante_desparacion",0.193235416944619,0.124163758520682,0.300731282675702
