"Coefficient","Estimate","LowerCI","UpperCI"
"hechovictimizante_tortura",11.3600445159572,9.17256588731895,13.5475231445955
"hechovictimizante_violenciasexual",8.56597888335302,7.62868402080026,9.50327374590577
"hechovictimizante_amenaza",7.26248107255957,6.89119841310454,7.63376373201461
"hechovictimizante_desplazamiento",-7.23645403677937,-7.42012346180614,-7.05278461175259
"hechovictimizante_homocidio",4.88424587804994,4.63174302286966,5.13674873323021
"hechovictimizante_hostigamientos",8.72489502510345,7.83648557112575,9.61330447908114
"hechovictimizante_lesion_fis",14.2833987794391,11.6815945247236,16.8852030341546
"hechovictimizante_despojo_tierras",9.22829714668226,7.86515477546144,10.5914395179031
"hechovictimizante_confinamiento",8.48282817832727,5.95415420623357,11.011502150421
"hechovictimizante_lesion_psic",7.76180774211831,5.64499890665395,9.87861657758267
"hechovictimizante_minas",10.0026234870571,5.78671203414767,14.2185349399665
"hechovictimizante_perdida_bienes",8.36368094394271,7.67287804133893,9.05448384654649
"hechovictimizante_secuestro",5.67431511338133,4.22959664699174,7.11903357977093
"hechovictimizante_reclut_ninos",2.34396040197215,-1.49303456932207,6.18095537326637
"hechovictimizante_desparacion",5.10622156406802,4.51597763752431,5.69646549061172
